cust_id,company1,city,type
EDISL,EDIBLE ISLAND WHOLE FOODS MARKET INC,COURTENAY,FREIGHT
EDWARD,EDWARD MILNE COMMUNITY SCHOOL,SOOKE,TOWN
ELLOCO,EL LOCO TACO dba,SALTSPRING ISLAND,UPISLAND
EMBASS,EMBASSY HOTEL,VICTORIA,TOWN
EMILIAN,EMILIANOS MEXICAN FOOD TRAILER,PORT ALBERNI,FREIGHT
EMMANUEL,EMMANUEL BAPTIST CHURCH,VICTORIA,TOWN
ESQHIGH,ESQUIMALT HIGH SCHOOL,VICTORIA,TOWN
EUGWAR,EUGENE'S GREEK FOOD dba,VICTORIA,TOWN
EVERG,EVERGREEN SENIORS HOME INC,CAMPBELL RIVER,FREIGHT
FPFOOD,F.P. FOODS LTD.,PORT ALICE,VAN
EMPRSS,FAIRMONT EMPRESS HOTEL,VICTORIA,TOWN
FAIRW1,FAIRWAY # -1,VICTORIA,TOWN
FAIRW6,FAIRWAY # -6,VICTORIA,TOWN
FAIR16,FAIRWAY # 16,VICTORIA,TOWN
TRIPCR,FAIRWAY # 3,VICTORIA,TOWN
FAIRW8,FAIRWAY # 8,NANAIMO,UPISLAND
FAIR10,FAIRWAY #10,VICTORIA,TOWN
FAIR12,FAIRWAY #12,SIDNEY,TOWN
FAIR11,FAIRWAY -#11,VICTORIA,TOWN
FAIR15,FAIRWAY -#15,VICTORIA,TOWN
FAIRW4,FAIRWAY -#4,VICTORIA,TOWN
FANBAY,FANNY BAY INN dba,FANNY BAY,FREIGHT
FARWES,FAR WEST FOODS GROUP,UCLUELET,FREIGHT
FARMFI,FARM & FIELD BUTCHERS,VICTORIA,TOWN
FARMGA,FARM GATE STORE,MAYNE ISLAND,P/U
FARMHO,FARMHOUSE RESTAURANT,PARKSVILLE,UPISLAND
FEDERA,FEDERATED CO-OP LTD.,SASKATOON,LOOKUP
FENGYB,FENGY BOUTIQUE,COOMBS,FREIGHT
FERNWO,"FERNWOOD PIZZA COMPANY, THE",VICTORIA,TOWN
FERRIS,FERRIS'S OYSTER BAR,VICTORIA,TOWN
FIFTY,FIFTY PARALLEL TAP & GRILL,CAMPBELL RIVER,FREIGHT
FINEST,FINEST AT SEA,VICTORIA,TOWN
DOCKSS,FINNS,VICTORIA,TOWN
FIRPAR,FIR PARK VILLAGE 08107 7299,PORT ALBERNI,FREIGHT
FIRESD,FIRESIDE GRILL,VICTORIA,TOWN
FISHOC,FISH O CHIPS dba,SIDNEY,TOWN
FISHON,FISH ON 5TH,SIDNEY,TOWN
FISHST,FISH STORE,VICTORIA,TOWN
FISHTL,FISH TALES CAFE 2010 LTD.,QUALICUM BEACH,FREIGHT
FISHFU,FISHFULL THINKING,UCLUELET,FREIGHT
FISHH,FISHHOOK dba,VICTORIA,TOWN
FIVED,"FIVE & DIME DINER, THE dba",SIDNEY,TOWN
FIVES,FIVE STAR WHOLESALE,PARKSVILLE,UPISLAND
FLAVOU,FLAVOUR FINE FOODS INC.,VICTORIA,TOWN
FLESHI,FLESHING PALACE CO.,VICTORIA,TOWN
FLTHSE,FLOAT HOUSE PATIO & GRILL,UCLUELET,FREIGHT
FDWSA,FLOYD'S DINER - WEST SAANICH,VICTORIA,TOWN
FDJAMES,FLOYD'S DINER -JAMES BAY,VICTORIA,TOWN
FDLANG,FLOYD'S DINER LANGFORD,VICTORIA,TOWN
FLYPIG,"FLYING PIG, THE",VICTORIA,TOWN
FOGGY,FOGGY'S VAPOR,SAANICHTON,TOWN
